status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,impact_score,page_id,Source type,auckland ,council ,mayor ,goff,councillor,local board ,tier1
102717559809000_1446489278765148,"One week left to have your say! 
Now's the time to be heard. Whether you care about local community events, parks and playgrounds, or a town centre to be proud of, we want to hear from you.
Visit www.shapeauckland.co.nz to submit your feedback, or share your thoughts below, including the phrase ""Local Board Plan Feedback"" in your post. Submissions close Friday 30 June.",Shape Auckland,link,http://www.shapeauckland.co.nz/,42908.83248,9,5,3,8,1,0,0,0,0,40,1.02718E+14,Local,0,0,0,0,0,1,1
102717559809000_1444165988997477,"We need to know what matters to you and your family. Whether its safer shared pathways, better transport options, or more community events.  It's easy to have your say on the draft Local Board Plan. Simply post your thoughts below using the words ""Local Board Plan Feedback"" in your comment. www.shapeauckland.co.nz",Timeline Photos,photo,https://www.facebook.com/OrakeiLB/photos/a.135784236502332.35980.102717559809000/1444165988997477/?type=3,42906.72264,86,30,6,81,5,0,0,0,0,324,1.02718E+14,Local,0,0,0,0,0,1,1
102717559809000_1425045317576211,It's your future. We want to hear from you! Go online to shapeauckland.co.nz to have your say on the Draft è?réÅkei Local Board Plan. Or come to Leicester Hall in Ellerslie on 22 June and chat with local board members.,Draft Local Board Plan 2017,video,https://www.facebook.com/OrakeiLB/videos/1425045317576211/,42900.08333,6,2,2,6,0,0,0,0,0,24,1.02718E+14,Local,0,0,0,0,0,1,1
102717559809000_1435818733165536,"Better public transport options and providing more safe walking and cycling connections across our area are a key focus of the draft è?réÅkei Local Board Plan. But what do you think matters most? 
Ways to have your say:
www.shapeauckland.co.nz
post a comment below including the words 'Local Board Plan feedback'
send a private message including the words 'Local Board Plan feedback'.",Shape Auckland,link,http://www.shapeauckland.co.nz/,42899.81405,67,17,9,67,0,0,0,0,0,244,1.02718E+14,Local,0,0,0,0,0,1,1
102717559809000_1426252810788795,"We look forward to seeing you today and hearing your thoughts and questions on our Draft Local Board Plan.

St Heliers Bay Artisan Craft & Gourmet Food Market Mission Bay, The Promenade St Heliers Bay - Your Village by the Sea St Heliers Centre St Heliers Community Library Remuera Shopping Centre (Auckland, New Zealand) Remuera Ellerslie Town Centre Ellerslie AFC Ellerslie Event Centre Meadowbank and St Johns Residents Association Meadowbank Community Centre Stonefields Residents Association Inc. Stonefields Community Tamaki Drive Market NgéÅti WhéÅtua è?réÅkei Orakei Community Centre Orakei Market Remuera Community St. John's Residents' Association NgéÅti WhéÅtua è?réÅkei - Whai Maia The Hobson",Have Your Say - Draft Local Board Plan,event,https://www.facebook.com/events/146541539222752/,42892.88926,5,0,0,5,0,0,0,0,0,15,1.02718E+14,Local,0,0,0,0,0,1,1
102717559809000_1425018337578909,We want to hear from you!  Have your say on the Draft è?réÅkei Local Board Plan at www.shapeauckland.co.nz or write your feedback on this page or in a private message - remember to include the words 'Local Board Plan feedback in your message.,Have Your Say - Local Board Plan 2017,video,https://www.facebook.com/OrakeiLB/videos/1425018337578909/,42891.9638,1,1,0,1,0,0,0,0,0,5,1.02718E+14,Local,0,0,0,0,0,1,1
102717559809000_108765919717316,"Parents, children, all those who love our green space, get into action to make a difference, even if just for an hour.  This long established valley needs your protection.  

Seriously fun weed clearing and planting!  The day finishes with a delicious BBQ to celebrate our achievements

Please bring with you:
Gloves, sturdy shoes/gumboots and your favourite weeding implement like secateurs or pruning saw (spades and weed bags provided).

This event is a Kaipatiki Environment Centre Project and is funded by the è?réÅkei  Local Board.

For more information contact Anna Dadson on 027 283 6662 or biodiversity@kaipatiki.org.nz",Kohimarama Valley Forest - Volunteer Planting,event,https://www.facebook.com/events/108765919717316/,42884.81639,1,0,0,1,0,0,0,0,0,3,1.02718E+14,Local,0,0,0,0,0,1,1
102717559809000_1409914309089312,Local residents and students attending St Johns Theological College will now have safe access to bus stops across the very busy St Johns Rd thanks to Auckland Transport's installation of a pedestrian Refuge. This refuge also provides  a very handy crossing point for the future for those coming from the south side of St Johns Rd to get onto Stage 2 of the Glen Innes - Tamaki Shared Pathway. The Meadowbank St Johns Residents Association and the Orakei Local Board have long advocated for this refuge.,Photos from Orakei Local Board's post,photo,https://www.facebook.com/OrakeiLB/photos/a.135784236502332.35980.102717559809000/1409914095756000/?type=3,42877.89583,3,1,0,3,0,0,0,0,0,11,1.02718E+14,Local,1,0,0,0,0,1,1
102717559809000_1403366266414034,"We're developing our Local Board Plan 2017 and want to know what you think about the projects and outcomes we propose focusing on over the next three years. 

Visit Leicester Hall, meet our Local Board members and staff and have a chat, or give your feedback on the plan.

Just go online to www.shapeauckland.co.nz to read the draft è?réÅkei Local Board Plan and to make a submission. Feedback is accepted from 22 May to 30 June.",Have Your Say - Draft Local Board Plan,event,https://www.facebook.com/events/1403366266414034/,42876.93241,1,0,0,1,0,0,0,0,0,3,1.02718E+14,Local,0,0,0,0,0,1,1
102717559809000_146541539222752,"We're developing our Local Board Plan 2017 and want to know what you think about the projects and outcomes we propose focusing on over the next three years. 

Visit the St Heliers Centre, meet our Local Board members and staff and have a chat, or give your feedback on the plan.

Just go online to www.shapeauckland.co.nz to read the draft è?réÅkei Local Board Plan and to make a submission. Feedback is accepted from 22 May to 30 June.",Have Your Say - Draft Local Board Plan,event,https://www.facebook.com/events/146541539222752/,42876.93063,2,0,0,2,0,0,0,0,0,6,1.02718E+14,Local,0,0,0,0,0,1,1
102717559809000_1949642338650404,"We're developing our Local Board Plan 2017 and want to know what you think about the projects and outcomes we propose focusing on over the next three years. 

Visit St Chads, meet our Local Board members and staff and have a chat, or give your feedback on the plan.

Just go online to www.shapeauckland.co.nz to read the draft è?réÅkei Local Board Plan and to make a submission. Feedback is accepted from 22 May to 30 June",Have Your Say - Draft Local Board Plan,event,https://www.facebook.com/events/1949642338650404/,42876.92829,1,0,0,1,0,0,0,0,0,3,1.02718E+14,Local,0,0,0,0,0,1,1
102717559809000_1409760492438027,It's Local Board Plan consultation time.  We need to hear from you.,Help shape the future of your local area,link,http://ourauckland.aucklandcouncil.govt.nz/articles/news/2017/05/help-shape-the-future-of-your-local-area/,42876.74075,0,0,0,0,0,0,0,0,0,0,1.02718E+14,Local,0,0,0,0,0,1,1
102717559809000_1403226746424735,"On 8 May St Heliers resident 90-year old, Justice of the Peace, John B. McCormick received a long service certificate from Simon O'Connor MP for Tamaki and Colin Davis JP, Chairman of the Orakei Local Board and Immediate Past President of the Auckland Justices of the Peace Association.  Mr McCormick has been a JP for 52 years!",Timeline Photos,photo,https://www.facebook.com/OrakeiLB/photos/a.135784236502332.35980.102717559809000/1403226746424735/?type=3,42869.72074,2,0,1,2,0,0,0,0,0,7,1.02718E+14,Local,1,0,0,0,0,1,1
110444822368666_1418000328279769,"Congratulations to Michael Chu Shing, who will represent the è?tara-Papatoetoe Local Board area on the Auckland Council Youth Advisory Panel.",Young Aucklanders step up,link,http://ourauckland.aucklandcouncil.govt.nz/articles/news/2017/06/young-aucklanders-step-up/,42911.62639,4,0,2,3,1,0,0,0,0,14,1.10445E+14,Local,1,1,0,0,0,1,1
110444822368666_1418777524868716,"One week left to have your say! 
Now's the time to be heard. Whether you care about local community events, parks and playgrounds, or a town centre to be proud of, we want to hear from you.
Visit www.shapeauckland.co.nz to submit your feedback, or share your thoughts below, including the phrase ""Local Board Plan Feedback"" in your post. Submissions close Friday 30 June.",Shape Auckland,link,http://www.shapeauckland.co.nz/,42908.83068,34,4,3,33,1,0,0,0,0,113,1.10445E+14,Local,0,0,0,0,0,1,1
110444822368666_1418593398220462,"Reminder - Otara-Papatoetoe local board members will be down at the Otara Flea Markets - come and have a chat, and find out more about the draft local board plan.",Local Board Plan - Otara Flea Markets,event,https://www.facebook.com/events/298198560639869/,42908.63792,5,0,0,5,0,0,0,0,0,15,1.10445E+14,Local,0,0,0,0,0,1,1
110444822368666_1417946444951824,We've been out at bus and train stations this week with Auckland Transport and NiuFM encouraging commuters to save on their public transport costs by getting a HOP card. It's all part of efforts to get more people in our community taking advantage of the cheaper fares by using a HOP card. Our local board is covering the costs of the cards.   Watch out for us at locations next week to find out more about how HOP works.,Photos from Otara-Papatoetoe Local Board's post,photo,https://www.facebook.com/otarapapatoetoe/photos/a.207330569346757.52568.110444822368666/1417945168285285/?type=3,42907.97045,19,1,0,19,0,0,0,0,0,59,1.10445E+14,Local,1,0,0,0,0,1,1
